"时间","星期一","星期二","星期三","星期四","星期五","星期六","星期日"
"早晨","","","","","","",""
"上午","第1节","","网络安全周二第1,2节{第2-17周}刘冬宁教4-205第17周周2(2016-06-21)第3,4节教5-205","","","网络应用编程周五第1,2节{第1-12周}丁国芳教2-519软件工程周五第1,2节{第13-16周}明俊峰教2-519第17周周4(2016-06-23)第6,7节教3-201","",""
"第2节","","","","",""
"第3节","网络操作系统周一第3,4节{第1-12周}王勇教4-309第12周周1(2016-05-16)第3,4节教5-203","网络工程设计周二第3,4节{第1-16周}王文彦教4-203第16周周2(2016-06-14)第6,7节教3-203","","网络管理与维护周四第3,4节{第1-16周}彭重嘉教2-319第16周周4(2016-06-16)第3,4节教5-203","","",""
"第4节","","","",""
"下午","第5节","","","","","","",""
"第6节","大学生就业创业指导周一第6,7节{第5-8周}柯婷教4-207","","软件工程周三第6,7节{第1-17周}明俊峰教2-519第17周周4(2016-06-23)第6,7节教3-201","","","",""
"第7节","","","","",""
"第8节","","","","","","",""
"第9节","","","","","","",""
"晚上","第10节","","基本乐理周二第10,11,12节{第11-11周}梁为综合楼-502基本乐理周二第10,11,12节{第2-5周}梁为综合楼-502基本乐理周二第10,11,12节{第7-9周}梁为综合楼-502","","漫步音乐小品周四第10,11,12节{第10-14周}吴凡综合楼-511流行音乐与青年文化周四第10,11,12节{第2-9周}吴凡综合楼-511漫步音乐小品周四第10,11,12节{第16-18周}吴凡综合楼-511","走近音乐大师周五第10,11,12节{第10-14周}梁为综合楼-502走近音乐大师周五第10,11,12节{第16-18周}梁为综合楼-502","",""
"第11节","","","",""
"第12节","","","",""
